time,x,y,z
28,-0.64523,9.99100,0.09398
78,-0.65721,10.07240,-0.18854
128,-0.75298,9.96228,0.05089
178,-0.59496,9.94072,0.10594
229,-0.53032,9.99339,-0.05206
278,-0.67876,10.02213,0.01018
329,-0.67876,10.02213,0.01018
377,-0.58777,10.09874,0.00301
429,-0.60693,9.93834,0.07962
478,-0.58060,10.01256,0.04610
528,-0.51355,10.01973,-0.09995
578,-0.97324,10.07240,-0.01376
627,-0.79367,10.01495,0.73323
678,-0.54468,10.07959,0.75717
728,-0.48721,9.94791,0.31184
777,-0.52313,9.75877,0.29269
827,-0.50876,9.43076,-0.69850
880,-0.49919,9.85933,0.85294
927,-0.14485,10.39563,0.87927
978,-0.05626,10.36690,0.39325
1028,0.36751,10.53928,0.07243
1078,0.24062,10.26874,0.30946
1127,-0.24780,10.02452,1.13306
1178,-0.33638,10.13945,1.51852
1228,-0.00598,10.47942,0.52493
1279,-0.34596,10.08438,0.05806
1327,-0.50398,10.42436,1.40121
1378,-0.37709,10.63504,-0.58119
1428,-0.46567,10.60631,0.50578
1478,-0.91339,10.38365,0.78590
1528,-0.65242,9.91200,-1.42635
1578,-0.74818,9.16740,-0.69131
1627,-0.77213,8.99980,1.14024
1678,-0.98042,9.58159,2.30861
1728,-1.19112,10.36690,-0.01137
1778,-1.46884,9.93355,-1.53168
1828,-0.82001,9.58878,0.64943
1880,-0.53032,9.59357,0.95828
1928,-1.10013,9.69891,1.04927
1978,-1.61249,10.01256,1.21207
2028,-1.32040,10.49379,1.29826
2079,-0.71228,11.07318,0.57281
2128,-0.75777,11.61906,1.51135
2178,-0.64044,11.96622,1.55205
2227,-0.38666,10.64941,-2.45824
2278,-0.87987,8.72447,-1.54605
2328,-0.25497,8.95911,2.33495
2378,-0.23822,9.95749,1.01335
2427,-1.10732,9.78989,-0.87567
2478,-0.73143,9.24641,-0.19812
2527,-0.34836,9.11952,1.98300
2578,-0.76016,9.27513,1.75076
2627,-0.67876,9.76595,0.51535
2678,-0.27654,10.75237,0.99899
2728,-0.45370,11.10431,-0.99538
2778,-1.46405,11.17613,1.72203
2828,-2.13203,11.20966,0.90800
2883,-0.83438,9.78749,-2.64020
2927,-1.47124,9.44034,0.89125
2978,-1.69389,9.65820,1.43712
3028,-0.92775,9.74680,-0.52612
3078,-1.49518,9.18655,0.22327
3127,-1.40659,9.17697,0.73323
3177,-1.08098,9.41400,0.90561
3228,-1.31561,9.61272,1.20250
3279,-1.17674,10.20409,1.19531
3328,-1.07379,10.99417,0.51057
3378,-0.77692,10.98938,0.36452
3428,-0.31723,11.82018,2.58635
3478,-0.94212,10.39803,-1.73041
3528,-0.30765,9.08360,-0.72963
3577,0.14006,9.23923,0.63268
3628,-0.33398,9.85454,0.76915
3677,-0.81523,9.67258,-0.98102
3727,-0.24541,9.68694,-0.19812
3778,-0.15921,9.51456,0.36212
3828,-0.31244,9.74680,0.35255
3882,-0.56383,10.17296,0.82181
3927,-0.45370,10.57759,0.77632
3977,-0.83438,11.24318,0.72365
4028,-0.74339,11.20007,-0.06883
4079,-0.45610,11.97820,3.10828
4127,-2.30681,10.19450,-2.32895
4179,-0.74818,9.75877,0.87210
4228,-2.05782,8.94234,0.71169
4279,-1.52151,8.96867,0.88646
4329,-0.96846,9.26556,0.71169
4377,-1.06422,9.31824,1.18094
4428,-0.89423,9.53850,0.83858
4478,-1.17914,9.39485,1.25038
4528,-1.32997,9.70131,1.66696
4578,-1.30363,10.47464,2.03328
4628,-1.04028,11.61188,-0.01137
4678,-1.06662,11.76511,1.03490
4728,-1.30125,11.66695,1.73640
4778,-1.26534,9.70610,-2.28107
4827,0.06824,9.57921,2.21524
4877,0.14725,9.56723,0.16820
4936,-1.07858,8.82024,0.12511
4978,-1.09056,8.89685,1.23361
5028,-0.43933,9.28471,0.29509
5078,-0.14725,9.59357,0.69014
5128,-0.67397,9.85214,1.14743
5178,-0.87747,10.39084,2.01892
5228,-1.20547,11.28387,1.05644
5278,-1.28448,11.36049,0.65182
5328,-1.49518,11.37485,2.14102
5379,-2.27808,10.17535,-1.71124
5427,-0.92775,9.82341,-0.01137
5478,-1.22942,9.22964,0.46747
5528,-1.72023,9.03572,0.79309
5578,-1.43532,9.17697,0.32861
5628,-1.15041,9.29430,0.54408
5679,-1.48320,9.31824,0.79309
5728,-1.86867,9.69412,1.68852
5777,-1.87585,10.18494,1.79385
5828,-1.30363,11.04684,1.49698
5878,-1.42336,11.29106,0.05328
5930,-0.73143,11.34134,2.46184
5978,-1.02112,11.22881,1.78908
6028,-0.99240,9.74440,-2.49895
6078,0.09457,9.33978,1.54007
6128,0.32202,9.46667,1.97821
6178,-0.80804,9.56963,-0.37289
6228,-0.99718,9.43076,0.29749
6278,-0.22626,9.20331,1.26234
6328,-0.33398,9.52654,0.70450
6379,-0.90620,10.28070,0.76436
6428,-0.77692,10.83377,0.92476
6478,-1.55025,11.32457,0.29030
6528,-1.23660,11.92792,2.87364
6578,-1.73221,10.77151,-3.17889
6628,-0.44173,9.22008,-1.69688
6679,-0.62129,9.22008,2.92152
6727,-1.60292,9.55765,1.10194
6778,-1.60292,10.07719,-0.71288
6828,-1.52391,9.83777,0.88646
6878,-1.13844,9.33020,0.69971
6931,-1.32280,9.33020,1.36290
6978,-1.62686,9.46907,0.95589
7028,-1.27252,9.84496,1.40361
7078,-1.09296,10.44112,0.70689
7128,-0.85353,10.80981,1.17137
7178,-0.84634,11.14023,1.04448
7227,-0.38905,11.02290,2.18172
7279,-0.50159,9.86650,-1.49817
7328,0.01556,8.96390,0.10594
7377,0.10654,9.33020,2.76590
7427,0.20949,9.65582,2.27988
7478,-0.52313,9.86172,0.23523
7528,-0.37469,9.96228,0.45311
7578,-0.03471,9.76834,0.46507
7628,0.25259,9.99339,0.96068
7678,-0.08020,10.11311,0.42917
7728,-0.22147,10.37886,1.18813
7778,-0.93015,10.50336,1.14024
7828,-1.62686,10.10114,-0.21967
7878,-1.21745,9.66779,-0.18135
7933,-0.57820,9.89044,0.54169
7978,-0.23343,9.95988,0.27115
8028,-0.83678,10.19450,0.37650
8078,-0.94690,10.04128,-0.12868
8128,-1.53827,10.29507,0.50578
8178,-1.61009,10.20888,-0.00658
8228,-1.33237,10.27591,-0.35374
8278,-1.07858,10.01256,0.28790
8328,-0.93015,10.05325,-0.03770
8378,-1.08817,10.11311,-0.02095
8428,-0.98521,10.11311,-0.22206
8478,-0.77452,9.95749,0.01018
