time,lat,lng,accuracy,altitude,speed,satellites in view,satellites in use
332,30.60913670,-96.31600560,24,67.30000,0.04647,0,0
1386,30.60913510,-96.31600950,17,67.20000,0.03016,0,0
2383,30.60913510,-96.31600950,17,67.20000,0.03016,0,0
3387,30.60913510,-96.31600950,17,67.20000,0.03016,0,0
4435,30.60913510,-96.31600950,17,67.20000,0.03016,0,0
5434,30.60913510,-96.31600950,17,67.20000,0.03016,0,0
6433,30.60913510,-96.31600950,17,67.20000,0.03016,0,0
7431,30.60913510,-96.31600950,17,67.20000,0.03016,0,0
8482,30.60913510,-96.31600950,17,67.20000,0.03016,0,0
9481,30.60913510,-96.31600950,17,67.20000,0.03016,0,0
10483,30.60913510,-96.31600950,17,67.20000,0.03016,0,0
11489,30.60913340,-96.31601210,17,67.10000,0.03144,0,0
12485,30.60913340,-96.31601210,17,67.10000,0.03144,0,0
13487,30.60913340,-96.31601210,17,67.10000,0.03144,0,0
